velocidad_bala,distancia_bala1,bala2_y,distancia_bala2,mov_derecha,accion
-3,181,165,0,0,0
-3,178,168,0,0,0
-3,175,171,0,0,0
-3,172,174,0,0,0
-3,169,177,0,0,0
-3,166,180,0,0,0
-3,163,183,0,0,0
-3,160,186,0,0,0
-3,157,189,0,0,0
-3,154,192,0,0,0
-3,151,195,0,0,0
-3,148,198,0,0,0
-3,145,201,0,0,0
-3,142,204,0,0,0
-3,139,207,0,0,0
-3,136,210,0,0,0
-3,133,213,0,0,0
-3,130,216,0,0,0
-3,124,219,3,1,2
-3,118,222,6,1,2
-3,112,225,9,1,2
-3,106,228,12,1,2
-3,100,231,15,1,2
-3,94,234,18,1,2
-3,88,237,21,1,2
-3,82,240,24,1,2
-3,76,243,27,1,2
-3,70,246,30,1,2
-3,67,249,30,1,2
-3,64,252,30,1,2
-3,61,255,30,1,2
-3,58,258,30,1,2
-3,55,261,30,1,3
-3,52,264,30,1,3
-3,49,267,30,1,3
-3,46,270,30,1,3
-3,43,273,30,1,3
-3,40,276,30,1,3
-3,37,279,30,1,3
-3,34,282,30,1,3
-3,31,285,30,1,3
-3,28,288,30,1,3
-3,25,291,30,1,3
-3,22,294,30,1,3
-3,19,297,30,1,3
-3,16,300,30,1,3
-3,13,303,30,1,3
-3,10,306,30,1,3
-3,7,309,30,1,3
-3,4,312,30,1,3
-3,1,315,30,1,3
-3,2,318,30,1,3
-3,5,321,30,1,3
-3,8,324,30,1,3
-3,11,327,30,1,3
-3,14,330,30,1,3
-3,17,333,30,1,3
-3,20,336,30,1,3
-3,23,339,30,1,3
-3,26,342,30,1,3
-3,29,345,30,1,3
-3,32,348,30,1,3
-3,35,351,30,1,2
-3,35,354,27,0,0
-3,35,357,24,0,0
-3,35,360,21,0,0
